x,y,z,t,u_true,u_pred
0.000000000000000000e+00,6.250000000000000000e-01,1.250000000000000000e-01,3.359375000000000000e-01,0.000000000000000000e+00,1.379738678224384785e-04
7.500000000000000000e-01,2.500000000000000000e-01,1.000000000000000000e+00,9.375000000000000000e-02,-6.781093020435946528e-08,-5.147577030584216118e-05
0.000000000000000000e+00,3.125000000000000000e-01,1.875000000000000000e-01,1.875000000000000000e-01,0.000000000000000000e+00,2.731907297857105732e-04
5.625000000000000000e-01,4.375000000000000000e-01,0.000000000000000000e+00,8.281250000000000000e-01,-0.000000000000000000e+00,6.124033825471997261e-05
7.500000000000000000e-01,2.500000000000000000e-01,0.000000000000000000e+00,3.593750000000000000e-01,0.000000000000000000e+00,1.263090525753796101e-04
8.125000000000000000e-01,6.875000000000000000e-01,0.000000000000000000e+00,7.343750000000000000e-01,-0.000000000000000000e+00,6.861344445496797562e-06
3.750000000000000000e-01,3.750000000000000000e-01,0.000000000000000000e+00,4.609375000000000000e-01,0.000000000000000000e+00,1.738800783641636372e-04
7.500000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,0.000000000000000000e+00,5.731591582298278809e-01,2.580010914243757725e-04
2.500000000000000000e-01,7.500000000000000000e-01,2.500000000000000000e-01,0.000000000000000000e+00,5.731591582298278809e-01,3.954494604840874672e-05
3.750000000000000000e-01,3.750000000000000000e-01,6.250000000000000000e-01,0.000000000000000000e+00,1.278398394584655762e+00,2.039253013208508492e-05
8.750000000000000000e-01,8.750000000000000000e-01,1.250000000000000000e-01,0.000000000000000000e+00,9.085292369127273560e-02,2.777802874334156513e-04
6.250000000000000000e-01,1.250000000000000000e-01,3.750000000000000000e-01,0.000000000000000000e+00,5.295300483703613281e-01,1.556559582240879536e-04
1.250000000000000000e-01,6.250000000000000000e-01,8.750000000000000000e-01,0.000000000000000000e+00,2.193384319543838501e-01,-1.346018980257213116e-04
1.875000000000000000e-01,3.125000000000000000e-01,3.125000000000000000e-01,0.000000000000000000e+00,6.226615309715270996e-01,2.876830403693020344e-04
6.875000000000000000e-01,8.125000000000000000e-01,8.125000000000000000e-01,0.000000000000000000e+00,4.160490036010742188e-01,2.233090926893055439e-04
9.375000000000000000e-01,6.250000000000000000e-02,5.625000000000000000e-01,0.000000000000000000e+00,6.051535904407501221e-02,1.295020920224487782e-04
4.375000000000000000e-01,5.625000000000000000e-01,6.250000000000000000e-02,0.000000000000000000e+00,3.042312860488891602e-01,3.581720520742237568e-04
3.125000000000000000e-01,1.875000000000000000e-01,9.375000000000000000e-01,0.000000000000000000e+00,1.460970044136047363e-01,2.361166407354176044e-04
8.125000000000000000e-01,6.875000000000000000e-01,4.375000000000000000e-01,0.000000000000000000e+00,7.344791293144226074e-01,2.593338140286505222e-04
5.625000000000000000e-01,4.375000000000000000e-01,1.875000000000000000e-01,0.000000000000000000e+00,8.663773536682128906e-01,1.990248565562069416e-04
6.250000000000000000e-02,9.375000000000000000e-01,6.875000000000000000e-01,0.000000000000000000e+00,5.130244046449661255e-02,4.068244015797972679e-05
9.375000000000000000e-02,4.687500000000000000e-01,8.437500000000000000e-01,0.000000000000000000e+00,2.207671850919723511e-01,2.975884126499295235e-05
5.937500000000000000e-01,9.687500000000000000e-01,3.437500000000000000e-01,0.000000000000000000e+00,1.341024637222290039e-01,2.255686558783054352e-05
8.437500000000000000e-01,2.187500000000000000e-01,9.375000000000000000e-02,0.000000000000000000e+00,1.407308876514434814e-01,2.584255416877567768e-04
3.437500000000000000e-01,7.187500000000000000e-01,5.937500000000000000e-01,0.000000000000000000e+00,1.057597160339355469e+00,3.024594043381512165e-04
