x,y,t,u_true,u_pred
6.250000000000000000e-01,0.000000000000000000e+00,7.812500000000000000e-01,-0.000000000000000000e+00,3.094403073191642761e-04
3.750000000000000000e-01,1.000000000000000000e+00,9.179687500000000000e-02,4.784225282605802931e-08,-8.298608474433422089e-03
0.000000000000000000e+00,3.750000000000000000e-01,4.980468750000000000e-01,-0.000000000000000000e+00,-3.189520910382270813e-03
1.000000000000000000e+00,6.250000000000000000e-01,6.796875000000000000e-01,-2.789157527161023609e-08,-5.680480971932411194e-04
1.000000000000000000e+00,1.250000000000000000e-01,6.250000000000000000e-01,2.925786901641913573e-08,9.139133617281913757e-04
0.000000000000000000e+00,8.750000000000000000e-01,8.945312500000000000e-01,-0.000000000000000000e+00,6.779571995139122009e-04
8.750000000000000000e-01,1.000000000000000000e+00,3.105468750000000000e-01,-1.115475711799263081e-08,1.017419621348381042e-03
1.250000000000000000e-01,0.000000000000000000e+00,3.359375000000000000e-01,-0.000000000000000000e+00,4.907513502985239029e-03
1.875000000000000000e-01,0.000000000000000000e+00,9.687500000000000000e-01,0.000000000000000000e+00,-1.129386015236377716e-03
8.125000000000000000e-01,1.000000000000000000e+00,9.843750000000000000e-01,-4.708749301585157809e-08,-3.275768831372261047e-04
0.000000000000000000e+00,8.125000000000000000e-01,3.964843750000000000e-01,0.000000000000000000e+00,7.532639428973197937e-04
1.000000000000000000e+00,1.875000000000000000e-01,8.710937500000000000e-01,-2.613735183842891274e-08,1.448395662009716034e-03
1.000000000000000000e+00,6.875000000000000000e-01,8.554687500000000000e-01,-6.926069318069494329e-08,-6.786556914448738098e-04
0.000000000000000000e+00,3.125000000000000000e-01,1.855468750000000000e-01,-0.000000000000000000e+00,5.567604675889015198e-03
3.125000000000000000e-01,1.000000000000000000e+00,9.023437500000000000e-01,5.315488849078064959e-08,1.397966407239437103e-03
6.875000000000000000e-01,0.000000000000000000e+00,5.664062500000000000e-01,0.000000000000000000e+00,3.817784599959850311e-03
9.375000000000000000e-01,0.000000000000000000e+00,5.429687500000000000e-01,0.000000000000000000e+00,-8.632717654109001160e-04
6.250000000000000000e-02,1.000000000000000000e+00,7.871093750000000000e-01,1.562250950826182816e-08,4.139794036746025085e-04
0.000000000000000000e+00,6.250000000000000000e-02,8.085937500000000000e-01,-0.000000000000000000e+00,1.257236115634441376e-03
1.000000000000000000e+00,9.375000000000000000e-01,9.804687500000000000e-01,-1.556454343187851919e-08,-1.045548357069492340e-03
1.000000000000000000e+00,4.375000000000000000e-01,6.679687500000000000e-01,1.434235308295228606e-08,-4.923515953123569489e-03
0.000000000000000000e+00,5.625000000000000000e-01,7.226562500000000000e-01,0.000000000000000000e+00,2.296510152518749237e-03
5.625000000000000000e-01,1.000000000000000000e+00,5.898437500000000000e-01,-4.091682725970713363e-08,3.747669979929924011e-04
4.375000000000000000e-01,0.000000000000000000e+00,8.242187500000000000e-01,0.000000000000000000e+00,-1.126169227063655853e-04
3.125000000000000000e-01,0.000000000000000000e+00,1.406250000000000000e-01,0.000000000000000000e+00,8.430136367678642273e-04
6.875000000000000000e-01,1.000000000000000000e+00,6.523437500000000000e-01,5.519423851296778594e-08,-1.363006420433521271e-03
0.000000000000000000e+00,6.875000000000000000e-01,6.757812500000000000e-01,0.000000000000000000e+00,-1.283229328691959381e-03
1.000000000000000000e+00,3.125000000000000000e-01,3.906250000000000000e-02,1.191823706392369786e-08,-2.025592140853404999e-03
1.000000000000000000e+00,8.125000000000000000e-01,2.968750000000000000e-01,-3.943240045600759913e-08,2.339189872145652771e-03
0.000000000000000000e+00,1.875000000000000000e-01,4.570312500000000000e-01,0.000000000000000000e+00,-8.667791262269020081e-04
1.875000000000000000e-01,1.000000000000000000e+00,2.500000000000000000e-01,-5.410704773112229304e-09,-2.647492103278636932e-03
8.125000000000000000e-01,0.000000000000000000e+00,5.292968750000000000e-01,-0.000000000000000000e+00,-3.851266577839851379e-03
5.625000000000000000e-01,0.000000000000000000e+00,3.242187500000000000e-01,-0.000000000000000000e+00,7.077428512275218964e-03
4.375000000000000000e-01,1.000000000000000000e+00,6.308593750000000000e-01,8.316181521195176174e-08,1.782802864909172058e-04
0.000000000000000000e+00,4.375000000000000000e-01,6.484375000000000000e-01,-0.000000000000000000e+00,2.199175767600536346e-03
1.000000000000000000e+00,5.625000000000000000e-01,5.390625000000000000e-01,-3.243743051939418365e-08,-5.548420362174510956e-03
1.000000000000000000e+00,6.250000000000000000e-02,8.984375000000000000e-01,1.027568963252178946e-08,1.554707996547222137e-03
0.000000000000000000e+00,9.375000000000000000e-01,3.437500000000000000e-01,-0.000000000000000000e+00,-3.900807350873947144e-04
9.375000000000000000e-01,1.000000000000000000e+00,6.250000000000000000e-02,1.593306819813733455e-08,1.088353805243968964e-03
6.250000000000000000e-02,0.000000000000000000e+00,7.539062500000000000e-01,-0.000000000000000000e+00,2.134117297828197479e-03
9.375000000000000000e-02,0.000000000000000000e+00,5.468750000000000000e-02,-0.000000000000000000e+00,-3.875222988426685333e-03
9.062500000000000000e-01,1.000000000000000000e+00,4.140625000000000000e-01,-2.281517197388893692e-08,2.327720634639263153e-03
0.000000000000000000e+00,9.062500000000000000e-01,5.117187500000000000e-01,-0.000000000000000000e+00,2.707632025703787804e-03
1.000000000000000000e+00,9.375000000000000000e-02,1.230468750000000000e-01,-1.738055210864786204e-08,-4.520268179476261139e-03
1.000000000000000000e+00,5.937500000000000000e-01,3.554687500000000000e-01,8.335565837569447467e-08,3.095026127994060516e-03
0.000000000000000000e+00,4.062500000000000000e-01,6.601562500000000000e-01,-0.000000000000000000e+00,-1.703490503132343292e-03
4.062500000000000000e-01,1.000000000000000000e+00,2.304687500000000000e-01,5.739817154903903429e-08,-2.009383402764797211e-03
5.937500000000000000e-01,0.000000000000000000e+00,9.199218750000000000e-01,-0.000000000000000000e+00,3.232995979487895966e-03
