x,t,u_true,u_pred
1.000000000000000000e+00,1.718750000000000000e-01,-4.435478118125502078e-08,-9.413342922925949097e-05
0.000000000000000000e+00,9.218750000000000000e-01,0.000000000000000000e+00,4.196492955088615417e-04
0.000000000000000000e+00,5.312500000000000000e-01,0.000000000000000000e+00,-5.679856985807418823e-05
1.000000000000000000e+00,9.375000000000000000e-01,-2.159019851788457345e-09,3.567161038517951965e-04
0.000000000000000000e+00,5.781250000000000000e-01,0.000000000000000000e+00,-2.012420445680618286e-04
0.000000000000000000e+00,7.500000000000000000e-01,0.000000000000000000e+00,-3.913072869181632996e-04
1.000000000000000000e+00,9.687500000000000000e-01,-1.908436519926226538e-09,5.793785676360130310e-04
0.000000000000000000e+00,3.125000000000000000e-02,0.000000000000000000e+00,-2.669356763362884521e-05
0.000000000000000000e+00,5.859375000000000000e-01,0.000000000000000000e+00,-2.237362787127494812e-04
0.000000000000000000e+00,1.093750000000000000e-01,0.000000000000000000e+00,-2.394346520304679871e-04
0.000000000000000000e+00,5.937500000000000000e-01,0.000000000000000000e+00,-2.455115318298339844e-04
0.000000000000000000e+00,4.218750000000000000e-01,0.000000000000000000e+00,2.341894432902336121e-04
0.000000000000000000e+00,7.031250000000000000e-01,0.000000000000000000e+00,-4.208050668239593506e-04
0.000000000000000000e+00,4.062500000000000000e-01,0.000000000000000000e+00,2.575861290097236633e-04
1.000000000000000000e+00,8.437500000000000000e-01,-3.126032321887350918e-09,-1.420266926288604736e-04
1.000000000000000000e+00,6.250000000000000000e-01,-7.413887725959966701e-09,-2.446398138999938965e-04
1.000000000000000000e+00,2.656250000000000000e-01,-3.063399489633411577e-08,2.395519986748695374e-04
1.000000000000000000e+00,6.171875000000000000e-01,-7.646113076020810695e-09,-2.241823822259902954e-04
0.000000000000000000e+00,3.593750000000000000e-01,0.000000000000000000e+00,2.853507176041603088e-04
1.000000000000000000e+00,2.343750000000000000e-02,-7.969670434704312356e-08,-9.452458471059799194e-05
0.000000000000000000e+00,8.593750000000000000e-01,0.000000000000000000e+00,-7.669441401958465576e-06
1.000000000000000000e+00,5.468750000000000000e-01,-1.009237315940936242e-08,-4.618428647518157959e-06
0.000000000000000000e+00,1.406250000000000000e-01,0.000000000000000000e+00,-2.244384959340095520e-04
1.000000000000000000e+00,4.687500000000000000e-02,-7.265344237339377287e-08,-1.473315060138702393e-04
0.000000000000000000e+00,9.609375000000000000e-01,0.000000000000000000e+00,7.621040567755699158e-04
0.000000000000000000e+00,3.437500000000000000e-01,0.000000000000000000e+00,2.797627821564674377e-04
1.000000000000000000e+00,1.250000000000000000e-01,-5.337143704764457652e-08,-1.932103186845779419e-04
0.000000000000000000e+00,1.562500000000000000e-02,0.000000000000000000e+00,3.346428275108337402e-05
1.000000000000000000e+00,7.187500000000000000e-01,-5.120462720498153431e-09,-3.753462806344032288e-04
1.000000000000000000e+00,2.500000000000000000e-01,-3.258315572907122259e-08,1.853862777352333069e-04
1.000000000000000000e+00,9.062500000000000000e-01,-2.442505309119269441e-09,1.616794615983963013e-04
0.000000000000000000e+00,3.281250000000000000e-01,0.000000000000000000e+00,2.656355500221252441e-04
0.000000000000000000e+00,7.109375000000000000e-01,0.000000000000000000e+00,-4.210220649838447571e-04
1.000000000000000000e+00,2.109375000000000000e-01,-3.801603298825284583e-08,4.024989902973175049e-05
1.000000000000000000e+00,8.125000000000000000e-01,-3.536489323607838742e-09,-2.477942034602165222e-04
1.000000000000000000e+00,8.750000000000000000e-01,-2.763213879930503936e-09,-5.486421287059783936e-06
1.000000000000000000e+00,8.906250000000000000e-01,-2.597915216284718554e-09,7.463805377483367920e-05
1.000000000000000000e+00,5.156250000000000000e-01,-1.141753003253143106e-08,1.028822734951972961e-04
0.000000000000000000e+00,6.406250000000000000e-01,0.000000000000000000e+00,-3.548320382833480835e-04
1.000000000000000000e+00,4.609375000000000000e-01,-1.416887407401645760e-08,2.743517979979515076e-04
0.000000000000000000e+00,6.562500000000000000e-01,0.000000000000000000e+00,-3.814622759819030762e-04
1.000000000000000000e+00,2.031250000000000000e-01,-3.920681379554480372e-08,1.148320734500885010e-05
1.000000000000000000e+00,8.359375000000000000e-01,-3.223948885633376449e-09,-1.709619536995887756e-04
0.000000000000000000e+00,3.359375000000000000e-01,0.000000000000000000e+00,2.733608707785606384e-04
1.000000000000000000e+00,7.812500000000000000e-01,-4.000840103657310465e-09,-3.213807940483093262e-04
0.000000000000000000e+00,1.875000000000000000e-01,0.000000000000000000e+00,-1.153405755758285522e-04
0.000000000000000000e+00,6.093750000000000000e-01,0.000000000000000000e+00,-2.865539863705635071e-04
1.000000000000000000e+00,6.250000000000000000e-02,-6.830723719986053766e-08,-1.745661720633506775e-04
0.000000000000000000e+00,4.375000000000000000e-01,0.000000000000000000e+00,2.045696601271629333e-04
7.500000000000000000e-01,0.000000000000000000e+00,7.071067690849304199e-01,7.071216702461242676e-01
2.500000000000000000e-01,0.000000000000000000e+00,7.071067690849304199e-01,7.071183919906616211e-01
3.750000000000000000e-01,0.000000000000000000e+00,9.238795042037963867e-01,9.238908290863037109e-01
8.750000000000000000e-01,0.000000000000000000e+00,3.826832771301269531e-01,3.827405571937561035e-01
6.250000000000000000e-01,0.000000000000000000e+00,9.238795042037963867e-01,9.238550662994384766e-01
1.250000000000000000e-01,0.000000000000000000e+00,3.826834559440612793e-01,3.826936483383178711e-01
1.875000000000000000e-01,0.000000000000000000e+00,5.555702447891235352e-01,5.555689334869384766e-01
6.875000000000000000e-01,0.000000000000000000e+00,8.314695358276367188e-01,8.314616680145263672e-01
9.375000000000000000e-01,0.000000000000000000e+00,1.950903087854385376e-01,1.951267868280410767e-01
4.375000000000000000e-01,0.000000000000000000e+00,9.807853102684020996e-01,9.807673096656799316e-01
3.125000000000000000e-01,0.000000000000000000e+00,8.314696550369262695e-01,8.314929604530334473e-01
8.125000000000000000e-01,0.000000000000000000e+00,5.555701851844787598e-01,5.556136965751647949e-01
5.625000000000000000e-01,0.000000000000000000e+00,9.807852506637573242e-01,9.807468056678771973e-01
6.250000000000000000e-02,0.000000000000000000e+00,1.950903236865997314e-01,1.951324045658111572e-01
9.375000000000000000e-02,0.000000000000000000e+00,2.902846634387969971e-01,2.903096079826354980e-01
5.937500000000000000e-01,0.000000000000000000e+00,9.569403529167175293e-01,9.569078683853149414e-01
8.437500000000000000e-01,0.000000000000000000e+00,4.713966250419616699e-01,4.714503884315490723e-01
3.437500000000000000e-01,0.000000000000000000e+00,8.819212913513183594e-01,8.819419145584106445e-01
4.687500000000000000e-01,0.000000000000000000e+00,9.951847195625305176e-01,9.951539635658264160e-01
9.687500000000000000e-01,0.000000000000000000e+00,9.801708906888961792e-02,9.803376346826553345e-02
7.187500000000000000e-01,0.000000000000000000e+00,7.730104327201843262e-01,7.730128169059753418e-01
2.187500000000000000e-01,0.000000000000000000e+00,6.343933343887329102e-01,6.343964934349060059e-01
1.562500000000000000e-01,0.000000000000000000e+00,4.713967442512512207e-01,4.713978469371795654e-01
6.562500000000000000e-01,0.000000000000000000e+00,8.819212317466735840e-01,8.819047808647155762e-01
9.062500000000000000e-01,0.000000000000000000e+00,2.902846932411193848e-01,2.903358638286590576e-01
4.062500000000000000e-01,0.000000000000000000e+00,9.569403529167175293e-01,9.569377303123474121e-01
2.812500000000000000e-01,0.000000000000000000e+00,7.730104327201843262e-01,7.730299830436706543e-01
7.812500000000000000e-01,0.000000000000000000e+00,6.343932747840881348e-01,6.344220042228698730e-01
5.312500000000000000e-01,0.000000000000000000e+00,9.951847195625305176e-01,9.951432347297668457e-01
3.125000000000000000e-02,0.000000000000000000e+00,9.801714122295379639e-02,9.807837009429931641e-02
4.687500000000000000e-02,0.000000000000000000e+00,1.467304676771163940e-01,1.467821896076202393e-01
5.468750000000000000e-01,0.000000000000000000e+00,9.891765117645263672e-01,9.891363978385925293e-01
7.968750000000000000e-01,0.000000000000000000e+00,5.956991910934448242e-01,5.957348942756652832e-01
2.968750000000000000e-01,0.000000000000000000e+00,8.032075762748718262e-01,8.032294511795043945e-01
4.218750000000000000e-01,0.000000000000000000e+00,9.700312614440917969e-01,9.700210094451904297e-01
9.218750000000000000e-01,0.000000000000000000e+00,2.429800778627395630e-01,2.430251538753509521e-01
6.718750000000000000e-01,0.000000000000000000e+00,8.577286005020141602e-01,8.577167987823486328e-01
1.718750000000000000e-01,0.000000000000000000e+00,5.141027569770812988e-01,5.141018629074096680e-01
2.343750000000000000e-01,0.000000000000000000e+00,6.715589761734008789e-01,6.715663671493530273e-01
7.343750000000000000e-01,0.000000000000000000e+00,7.409510612487792969e-01,7.409589290618896484e-01
9.843750000000000000e-01,0.000000000000000000e+00,4.906748980283737183e-02,4.907125979661941528e-02
4.843750000000000000e-01,0.000000000000000000e+00,9.987954497337341309e-01,9.987598061561584473e-01
3.593750000000000000e-01,0.000000000000000000e+00,9.039892554283142090e-01,9.040063023567199707e-01
8.593750000000000000e-01,0.000000000000000000e+00,4.275550544261932373e-01,4.276115894317626953e-01
6.093750000000000000e-01,0.000000000000000000e+00,9.415440559387207031e-01,9.415154457092285156e-01
1.093750000000000000e-01,0.000000000000000000e+00,3.368898630142211914e-01,3.369066119194030762e-01
7.812500000000000000e-02,0.000000000000000000e+00,2.429801970720291138e-01,2.430137395858764648e-01
5.781250000000000000e-01,0.000000000000000000e+00,9.700312614440917969e-01,9.699953794479370117e-01
8.281250000000000000e-01,0.000000000000000000e+00,5.141027569770812988e-01,5.141522288322448730e-01
3.281250000000000000e-01,0.000000000000000000e+00,8.577286601066589355e-01,8.577514290809631348e-01
4.531250000000000000e-01,0.000000000000000000e+00,9.891765117645263672e-01,9.891520142555236816e-01
