x,y,t,u_true,u_pred
1.000000000000000000e+00,5.000000000000000000e-01,5.839843750000000000e-01,-6.008761488374148030e-08,-7.242038846015930176e-04
0.000000000000000000e+00,5.000000000000000000e-01,9.726562500000000000e-01,0.000000000000000000e+00,-2.971686422824859619e-03
5.000000000000000000e-01,1.000000000000000000e+00,5.605468750000000000e-01,-8.515439020584381069e-08,-2.377334050834178925e-03
5.000000000000000000e-01,0.000000000000000000e+00,2.929687500000000000e-01,0.000000000000000000e+00,-3.976151347160339355e-04
7.500000000000000000e-01,0.000000000000000000e+00,8.515625000000000000e-01,0.000000000000000000e+00,-4.409791901707649231e-03
2.500000000000000000e-01,1.000000000000000000e+00,6.835937500000000000e-02,6.148023601326713106e-08,4.554949700832366943e-03
0.000000000000000000e+00,2.500000000000000000e-01,3.964843750000000000e-01,0.000000000000000000e+00,-3.605827689170837402e-03
1.000000000000000000e+00,7.500000000000000000e-01,9.453125000000000000e-01,2.477547234036592272e-08,8.317977190017700195e-04
1.000000000000000000e+00,2.500000000000000000e-01,1.484375000000000000e-01,-5.883812548290734412e-08,-1.391455531120300293e-03
0.000000000000000000e+00,7.500000000000000000e-01,6.523437500000000000e-01,-0.000000000000000000e+00,2.681463956832885742e-04
7.500000000000000000e-01,1.000000000000000000e+00,8.007812500000000000e-01,3.233961365367576946e-08,-1.063667237758636475e-03
2.500000000000000000e-01,0.000000000000000000e+00,8.339843750000000000e-01,0.000000000000000000e+00,-4.153125919401645660e-03
3.750000000000000000e-01,0.000000000000000000e+00,7.402343750000000000e-01,0.000000000000000000e+00,-4.241053014993667603e-03
6.250000000000000000e-01,1.000000000000000000e+00,8.398437500000000000e-02,6.712541988918019342e-08,4.629489034414291382e-03
0.000000000000000000e+00,6.250000000000000000e-01,7.421875000000000000e-01,0.000000000000000000e+00,-3.897212445735931396e-04
1.000000000000000000e+00,3.750000000000000000e-01,9.257812500000000000e-01,7.737997265166995930e-08,1.252979040145874023e-03
1.000000000000000000e+00,8.750000000000000000e-01,5.078125000000000000e-01,2.815939659228661185e-08,1.383377239108085632e-03
0.000000000000000000e+00,1.250000000000000000e-01,2.324218750000000000e-01,-0.000000000000000000e+00,-3.336295485496520996e-04
1.250000000000000000e-01,1.000000000000000000e+00,5.742187500000000000e-01,-3.107953716607880779e-08,-2.783980220556259155e-03
8.750000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,1.374803483486175537e-03
6.250000000000000000e-01,0.000000000000000000e+00,3.437500000000000000e-01,-0.000000000000000000e+00,1.635342836380004883e-03
3.750000000000000000e-01,1.000000000000000000e+00,1.718750000000000000e-01,-1.745068622938106273e-08,3.262666054069995880e-03
0.000000000000000000e+00,3.750000000000000000e-01,8.164062500000000000e-01,0.000000000000000000e+00,-1.463823020458221436e-03
1.000000000000000000e+00,6.250000000000000000e-01,8.906250000000000000e-01,2.383151631590862962e-08,-5.189888179302215576e-04
1.000000000000000000e+00,1.250000000000000000e-01,5.156250000000000000e-01,2.033523394118219585e-08,2.087131142616271973e-04
0.000000000000000000e+00,8.750000000000000000e-01,4.121093750000000000e-01,0.000000000000000000e+00,-2.401858568191528320e-03
8.750000000000000000e-01,1.000000000000000000e+00,7.265625000000000000e-01,-2.171577051512940670e-08,-1.440322026610374451e-03
1.250000000000000000e-01,0.000000000000000000e+00,5.468750000000000000e-01,0.000000000000000000e+00,-4.159532487392425537e-03
1.875000000000000000e-01,0.000000000000000000e+00,3.730468750000000000e-01,-0.000000000000000000e+00,-3.525801002979278564e-03
8.125000000000000000e-01,1.000000000000000000e+00,9.101562500000000000e-01,4.466844316652895941e-08,-7.409825921058654785e-04
0.000000000000000000e+00,8.125000000000000000e-01,7.148437500000000000e-01,0.000000000000000000e+00,-3.108255565166473389e-03
1.000000000000000000e+00,1.875000000000000000e-01,7.695312500000000000e-01,4.531514719019469339e-08,4.989504814147949219e-04
1.000000000000000000e+00,6.875000000000000000e-01,1.289062500000000000e-01,-6.173918620788754197e-08,8.187070488929748535e-05
0.000000000000000000e+00,3.125000000000000000e-01,1.835937500000000000e-01,-0.000000000000000000e+00,7.823333144187927246e-04
3.125000000000000000e-01,1.000000000000000000e+00,9.179687500000000000e-01,7.257368395130470162e-08,-1.114502549171447754e-03
6.875000000000000000e-01,0.000000000000000000e+00,1.542968750000000000e-01,0.000000000000000000e+00,1.066591590642929077e-03
9.375000000000000000e-01,0.000000000000000000e+00,9.199218750000000000e-01,-0.000000000000000000e+00,4.902482032775878906e-06
6.250000000000000000e-02,1.000000000000000000e+00,1.210937500000000000e-01,-1.055987564058114003e-08,-2.467352896928787231e-04
0.000000000000000000e+00,6.250000000000000000e-02,4.492187500000000000e-02,-0.000000000000000000e+00,4.045762121677398682e-03
1.000000000000000000e+00,9.375000000000000000e-01,5.703125000000000000e-01,-1.669621596533943375e-08,-7.341280579566955566e-04
1.000000000000000000e+00,4.375000000000000000e-01,3.906250000000000000e-03,-8.445493904218892567e-08,-2.868350595235824585e-03
0.000000000000000000e+00,5.625000000000000000e-01,2.070312500000000000e-01,-0.000000000000000000e+00,-7.335320115089416504e-04
5.625000000000000000e-01,1.000000000000000000e+00,3.359375000000000000e-01,6.079563519278963213e-08,1.888418570160865784e-03
4.375000000000000000e-01,0.000000000000000000e+00,8.417968750000000000e-01,0.000000000000000000e+00,-3.967054188251495361e-03
3.125000000000000000e-01,0.000000000000000000e+00,9.960937500000000000e-01,0.000000000000000000e+00,-4.358693957328796387e-03
6.875000000000000000e-01,1.000000000000000000e+00,3.984375000000000000e-01,-2.986220337675149494e-08,-6.200298666954040527e-04
0.000000000000000000e+00,6.875000000000000000e-01,5.898437500000000000e-01,0.000000000000000000e+00,-1.581504940986633301e-03
1.000000000000000000e+00,3.125000000000000000e-01,6.289062500000000000e-01,6.870183710816490930e-08,9.072944521903991699e-04
1.000000000000000000e+00,8.125000000000000000e-01,1.230468750000000000e-01,-3.326430331185292744e-08,-1.298479735851287842e-03
0.000000000000000000e+00,1.875000000000000000e-01,3.203125000000000000e-01,-0.000000000000000000e+00,-7.880255579948425293e-04
1.875000000000000000e-01,1.000000000000000000e+00,4.492187500000000000e-01,-2.165319656910469348e-08,-9.126998484134674072e-04
8.125000000000000000e-01,0.000000000000000000e+00,3.007812500000000000e-01,0.000000000000000000e+00,9.504593908786773682e-04
5.625000000000000000e-01,0.000000000000000000e+00,2.558593750000000000e-01,0.000000000000000000e+00,2.051256597042083740e-04
4.375000000000000000e-01,1.000000000000000000e+00,1.855468750000000000e-01,3.257062886063977203e-08,-3.374051302671432495e-04
